date|datetime_friendly|user_id|page_name|content_name|Video Start|Video Completes|Video 25%|Video 50%|Video 75%|Audio Start|Audio Completes|Audio 25%|Audio 50%|Audio 75%|platform|market
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Relaxing Rainfall (30 min)|0|0|0|0|0|1.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Waves (30 min)|0|0|0|0|0|1.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|7e5b58a9-3725-42ce-9399-771adaecdf0b|::unspecified::|Tranquil Lake Sounds (30 min)|0|0|0|0|0|1.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Breath awareness (5 min)|2|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Habit loops (18 min)|2|0|0|0|0|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Anger (5 min)|1|1|1|1|1|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Meet deadlines with calm (3 min)|1|1|1|1|1|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Quiet overwhelming self-talk (4 min)|1|1|1|1|1|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Remove tension from family visits (4 min)|1|1|1|1|1|0.0|0.0|0.0|0.0|0.0|Web|US
2022-01-12|Wed. 12 Jan. 2022|ae8df877-64a9-40ac-8f38-08c231ef5b78|::unspecified::|Ease your COVID-19 transition (5 min)|1|1|1|1|1|0.0|0.0|0.0|0.0|0.0|Web|US
