#|Country,Other|TotalCases|NewCases|TotalDeaths|NewDeaths|TotalRecovered|NewRecovered|ActiveCases|Serious,Critical|Tot Cases/1M pop|Deaths/1M pop|TotalTests|"Tests/1M pop"|Population|Continent|1 Caseevery X ppl|1 Deathevery X ppl|1 Testevery X ppl|New Cases/1M pop|New Deaths/1M pop|Active Cases/1M pop
130|Cabo Verde|34,738||303||33,806||629|23|61,717|538|205,858|365,733|562,864|Africa|16|1,858|3|||1,117
131|French Guiana|33,060||204||9,995||22,861|23|107,523|663|347,345|1,129,687|307,470|South America|9|1,507|1|||74,352
132|Mauritania|31,822||673||28,167||2,982|16|6,646|141|426,104|88,987|4,788,388|Africa|150|7,115|11|||623
133|Martinique|31,369||243||104||31,022|1|83,666|648|292,898|781,201|374,933|North America|12|1,543|1|||82,740
134|Guinea|28,802||314||26,212||2,276|24|2,128|23|529,762|39,134|13,537,073|Africa|470|43,112|26|||168
135|Suriname|27,503||699||23,258||3,546|14|46,409|1,180|99,435|167,789|592,620|South America|22|848|6|||5,984
136|Syria|26,901||1,971||22,287||2,643||1,496|110|103,566|5,759|17,983,437|Asia|669|9,124|174|||147
137|Gabon|25,667||165||25,437||65|5|11,231|72|1,054,727|461,510|2,285,382|Africa|89|13,851|2|||28
138|Guyana|24,336||594||22,364||1,378|16|30,771|751|254,453|321,734|790,879|South America|32|1,331|3|||1,742
139|Haiti|20,719||583||16,679||3,457||1,792|50|105,799|9,152|11,560,776|North America|558|19,830|109|||299
140|Mayotte|19,664||175||2,964||16,525|1|70,156|624|176,919|631,200|280,290|Africa|14|1,602|2|||58,957
141|Togo|19,614||172||16,105||3,337||2,308|20|446,467|52,531|8,499,104|Africa|433|49,413|19|||393
142|Seychelles|19,390||101||18,650||639||195,778|1,020|21,504|217,122|99,041|Africa|5|981|5|||6,452
143|Papua New Guinea|17,832||192||17,547||93|7|1,951|21|150,870|16,507|9,139,706|Australia/Oceania|513|47,603|61|||10
144|Bahamas|16,962||330||13,539||3,093|16|42,669|830|128,688|323,724|397,524|North America|23|1,205|3|||7,781
145|Somalia|16,787||918||8,077||7,792||1,024|56|190,581|11,623|16,396,364|Africa|977|17,861|86|||475
146|Tajikistan|16,423||124||16,174||125||1,679|13|||9,781,011|Asia|596|78,879||||13
147|Taiwan|15,932|+6|828||14,868|+21|236||668|35|4,672,849|195,796|23,865,938|Asia|1,498|28,824|5|0.3||10
148|Belize|15,415||351||14,149||915|6|37,983|865|206,689|509,292|405,836|North America|26|1,156|2|||2,255
149|Andorra|14,988||129||14,729||130|7|193,628|1,667|193,595|2,501,034|77,406|Europe|5|600|0|||1,679
150|Curaçao|14,937||137||14,240||560|4|90,605|831|222,464|1,349,428|164,858|North America|11|1,203|1|||3,397
151|Mali|14,757||536||14,053||168||706|26|371,233|17,752|20,912,567|Africa|1,417|39,016|56|||8
152|Timor-Leste|14,403|+187|49|+1|10,971|+67|3,383||10,693|36|169,501|125,837|1,346,993|Asia|94|27,490|8|139|0.7|2,512
153|Lesotho|14,382|+11|400||6,763||7,219||6,653|185|146,348|67,704|2,161,598|Africa|150|5,404|15|5||3,340
154|Aruba|14,003||126||13,130||747|14|130,524|1,174|177,885|1,658,091|107,283|North America|8|851|1|||6,963
155|Burkina Faso|13,713||171||13,461||81||636|8|209,088|9,701|21,553,744|Africa|1,572|126,045|103|||4
156|Congo|13,398||179||12,421||798||2,362|32|188,207|33,180|5,672,315|Africa|423|31,689|30|||141
157|Laos|12,469||11||4,604||7,854||1,686|1|358,190|48,432|7,395,697|Asia|593|672,336|21|||1,062
158|Hong Kong|12,063|+5|212||11,766||85||1,594|28|22,744,169|3,005,992|7,566,277|Asia|627|35,690|0|0.7||11
159|Djibouti|11,696||157||11,527||12||11,645|156|202,964|202,085|1,004,349|Africa|86|6,397|5|||12
160|South Sudan|11,310||120||10,948||242||997|11|209,687|18,486|11,343,144|Africa|1,003|94,526|54|||21
161|CAR|11,251||99||6,859||4,293|2|2,284|20|60,228|12,228|4,925,267|Africa|438|49,750|82|||872
162|Burundi|10,791||38||773||9,980||878|3|345,742|28,126|12,292,472|Africa|1,139|323,486|36|||812
163|Nicaragua|10,672||198||4,225||6,249||1,589|29|||6,714,287|North America|629|33,911||||931
164|Channel Islands|10,204||93||9,618||493||58,080|529|785,170|4,469,116|175,688|Europe|17|1,889|0|||2,806
165|Benin|10,183||119||8,402||1,662|5|816|10|604,310|48,408|12,483,649|Africa|1,226|104,905|21|||133
166|Iceland|10,115||30||9,066||1,019|22|29,424|87|942,225|2,740,883|343,767|Europe|34|11,459|0|||2,964
167|Gambia|9,439||296||8,865||278|3|3,785|119|101,817|40,830|2,493,705|Africa|264|8,425|24|||111
168|Equatorial Guinea|9,049||123||8,803||123||6,218|85|187,519|128,858|1,455,232|Africa|161|11,831|8|||85
169|Yemen|7,509||1,418||4,644||1,447|23|246|46|217,824|7,125|30,572,294|Asia|4,071|21,560|140|||47
170|Saint Lucia|7,232|+121|97||5,700|+6|1,435|4|39,180|526|65,853|356,764|184,584|North America|26|1,903|3|656||7,774
171|Mauritius|7,070||22||1,854||5,194||5,549|17|358,675|281,496|1,274,175|Africa|180|57,917|4|||4,076
172|Eritrea|6,623||37||6,565||21||1,839|10|23,693|6,577|3,602,282|Africa|544|97,359|152|||6
173|Sierra Leone|6,355||121||4,342||1,892||779|15|160,729|19,694|8,161,354|Africa|1,284|67,449|51|||232
174|Isle of Man|6,312||37||5,765||510|1|73,785|433|83,753|979,041|85,546|Europe|14|2,312|1|||5,962
175|Niger|5,770||196||5,490||84||229|8|139,342|5,530|25,199,159|Africa|4,367|128,567|181|||3
176|Guinea-Bissau|5,518||103||4,592||823|4|2,731|51|89,236|44,158|2,020,829|Africa|366|19,620|23|||407
177|liberia|5,459||148||2,715||2,596|2|1,051|29|128,246|24,697|5,192,697|Africa|951|35,086|40|||500
178|Gibraltar|5,290|+3|96||5,088|+14|106|5|157,067|2,850|330,405|9,810,125|33,680|Europe|6|351|0|89||3,147
179|San Marino|5,231||90||5,077||64|1|153,799|2,646|73,543|2,162,266|34,012|Europe|7|378|0|||1,882
180|Chad|4,985||174||4,805||6||294|10|136,887|8,071|16,960,608|Africa|3,402|97,475|124|||0.4
