datetime|datetime_friendly|prop28|event110|cm300007853_5ebcb03b9005f6248a063d1f|cm300007853_5ebcb00d9005f6248a063d1b|cm300007853_5ebcafaa04dd2673d5b06ecb|evar54|evar55|evar80
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|65212e86-7231-48de-81f4-0677efa51bb1|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|9ae51703-54d4-4a3a-8cad-6a671101bd34|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|5716ed60-06ad-4f0a-bfca-8950789478ea|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|4f396cce-aa0e-418e-ad8d-f2bc4ba66aac|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|bab43810-d929-441c-bd4d-6e32c9704450|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|OIAM_04e9c298-69bc-4205-84d3-0f2ad7875c0d|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|58bbfeae-b0db-4e3d-a77a-2593caedf038|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|OIAM_1f15bc55-babf-4438-ad55-184e1e921f17|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|f0e2f812-38e6-4256-a37a-2d3729a332e8|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|f53fb298-12be-4770-b35a-268fb4f26bbc|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|2e38958d-ba68-4ddf-85ef-50965203eaaa|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|OIAM_c61c63e6-e7ff-4437-976a-3444e08911e0|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|05d1a94e-df8b-4f94-9634-e971eb06ef1d|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|6c4c8c9a-4e9c-465a-a83c-b17bf4153f06|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|07ba3051-c1a5-4609-b8b8-98507e842429|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|fa1d4b8e-81c8-4046-bee6-29b0c2d96945|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|8758abbf-9f06-466a-89e3-f70970d4337a|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|12d4234f-38af-44a6-a556-2ae22336028d|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|1a4f2fc1-babe-4506-ae3b-07c3cd9189d0|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|5528084e-e906-460e-87c0-b3637633e596|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|OIAM_89d66c04-1f6a-4104-9365-956445097451|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|6d0eeadc-cfe4-4634-8b5b-40d2471f8891|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|e7af32d1-f450-46cd-a712-59e3771fe31e|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|c120f5e3-dc3b-4fdf-8c99-dbed1f826f5f|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|f4ce8b02-9936-4616-8d40-1f7da9cc7d0d|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|OIAM_a0021b3e-f68b-4e33-b4b0-4c7569796f64|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|7ab705bc-f04a-4e9e-ac7a-5a3f89e01366|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|52a68d6e-da16-4348-83a8-1bcc3d577ab7|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|15faa9d7-4e20-451f-aa35-0c3357158129|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|OIAM_fa030e1c-597a-40a1-919a-ae000475cd32|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|OIAM_916697fb-0e92-4280-b42f-8bc9fdbb49bb|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|793002f1-deac-4a81-89d6-bd320119b0a6|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|OIAM_9174794c-4b56-40e4-8ba2-3842adbd09b0|0|0|0|0|||
2021-06-12 01:00:00|Sat. 12 Jun. 2021 (Hour 1)|41b9ae37-c6bb-410d-a3d7-b2f26218dc3d|0|0|0|0|||
