date|user_id|market|platform|PageName|Content_Type|Content_Name|EventName|metric_value|guid
2022-01-12|c154d94e-9c29-45f7-ba89-aa9b6123f3b4|US|Web|::unspecified::|Video|Stretches for back pain (5 min)|Video 25%|2|
2022-01-12|c154d94e-9c29-45f7-ba89-aa9b6123f3b4|US|Web|::unspecified::|Video|Lower body stretches (5 min)|Video 25%|1|
2022-01-12|85825189-502a-45a1-804b-6d13218c313c|US|Web|::unspecified::|Video|Abdominal breathing (5 min)|Video 25%|1|
2022-01-12|85825189-502a-45a1-804b-6d13218c313c|US|Web|::unspecified::|Video|Build better trust (4 min)|Video 25%|1|
2022-01-12|85825189-502a-45a1-804b-6d13218c313c|US|Web|::unspecified::|Video|Physical benefits of relaxation (5 min)|Video 25%|1|
2022-01-12|85825189-502a-45a1-804b-6d13218c313c|US|Web|::unspecified::|Video|Nose breathing (6 min)|Video 25%|1|
2022-01-12|85825189-502a-45a1-804b-6d13218c313c|US|Web|::unspecified::|Video|Relaxation techniques (6 min)|Video 25%|1|
2022-01-12|85825189-502a-45a1-804b-6d13218c313c|US|Web|::unspecified::|Video|Build better connections (5 min)|Video 25%|1|
2022-01-12|85825189-502a-45a1-804b-6d13218c313c|US|Web|::unspecified::|Video|Build better sex (5 min)|Video 25%|1|
2022-01-12|85825189-502a-45a1-804b-6d13218c313c|US|Web|::unspecified::|Video|Breath awareness (5 min)|Video 25%|1|
2022-01-12|7a8435a6-ee9a-49af-8c4d-14e06b69a8df|US|Web|::unspecified::|Video|30 Minutes of Serenity|Video 25%|1|
2022-01-12|7a8435a6-ee9a-49af-8c4d-14e06b69a8df|US|Web|::unspecified::|Video|The World’s Most Breathtaking Waterfalls|Video 25%|1|
2022-01-12|7a8435a6-ee9a-49af-8c4d-14e06b69a8df|US|Web|::unspecified::|Video|Port Arena, CA|Video 25%|1|
2022-01-12|1813ce55-677e-48a5-b6fd-56df4f0374f8|US|Web|::unspecified::|Video|Costa Rican Casado|Video 25%|1|
2022-01-12|1813ce55-677e-48a5-b6fd-56df4f0374f8|US|Web|::unspecified::|Video|Sardinian eggplant towers|Video 25%|1|
2022-01-12|1813ce55-677e-48a5-b6fd-56df4f0374f8|US|Web|::unspecified::|Video|Set up your kitchen the Blue Zones way|Video 25%|1|
2022-01-12|1813ce55-677e-48a5-b6fd-56df4f0374f8|US|Web|::unspecified::|Video|Loma Lindan banana berry smoothie bowl|Video 25%|1|
2022-01-12|1813ce55-677e-48a5-b6fd-56df4f0374f8|US|Web|::unspecified::|Video|Greek fava dip|Video 25%|1|
2022-01-12|1813ce55-677e-48a5-b6fd-56df4f0374f8|US|Web|::unspecified::|Video|Okinawan breakfast plate|Video 25%|1|
2022-01-12|1813ce55-677e-48a5-b6fd-56df4f0374f8|US|Web|::unspecified::|Video|Port Arena, CA|Video 25%|1|
2022-01-12|3add7020-ba87-406c-93de-0c8adfb48737|US|Web|::unspecified::|Video|Build better trust (4 min)|Video 25%|1|
2022-01-12|3add7020-ba87-406c-93de-0c8adfb48737|US|Web|::unspecified::|Video|Physical benefits of relaxation (5 min)|Video 25%|1|
2022-01-12|3add7020-ba87-406c-93de-0c8adfb48737|US|Web|::unspecified::|Video|How to find purpose at any age (5 min)|Video 25%|1|
2022-01-12|3add7020-ba87-406c-93de-0c8adfb48737|US|Web|::unspecified::|Video|"Stop playing the ""compare game"" (5 min)"|Video 25%|1|
2022-01-12|3add7020-ba87-406c-93de-0c8adfb48737|US|Web|::unspecified::|Video|Living a centered life (6 min)|Video 25%|1|
2022-01-12|3add7020-ba87-406c-93de-0c8adfb48737|US|Web|::unspecified::|Video|Relaxation techniques (6 min)|Video 25%|1|
2022-01-12|eff4f0aa-184b-4794-ac24-b9b209fd6df7|US|Web|::unspecified::|Video|What's the secret to longevity?|Video 25%|2|
2022-01-12|eff4f0aa-184b-4794-ac24-b9b209fd6df7|US|Web|::unspecified::|Video|Okinawan breakfast plate|Video 25%|1|
2022-01-12|eff4f0aa-184b-4794-ac24-b9b209fd6df7|US|Web|::unspecified::|Video|Set up your kitchen the Blue Zones way|Video 25%|1|
2022-01-12|eff4f0aa-184b-4794-ac24-b9b209fd6df7|US|Web|::unspecified::|Video|Greek fava dip|Video 25%|1|
2022-01-12|dbb7b4c4-9c98-4915-9321-cd9a1d670a9f|US|Web|::unspecified::|Video|Costa Rican Casado|Video 25%|1|
2022-01-12|dbb7b4c4-9c98-4915-9321-cd9a1d670a9f|US|Web|::unspecified::|Video|Okinawan breakfast plate|Video 25%|1|
2022-01-12|dbb7b4c4-9c98-4915-9321-cd9a1d670a9f|US|Web|::unspecified::|Video|Sardinian eggplant towers|Video 25%|1|
2022-01-12|dbb7b4c4-9c98-4915-9321-cd9a1d670a9f|US|Web|::unspecified::|Video|Set up your kitchen the Blue Zones way|Video 25%|1|
2022-01-12|dbb7b4c4-9c98-4915-9321-cd9a1d670a9f|US|Web|::unspecified::|Video|Loma Lindan banana berry smoothie bowl|Video 25%|1|
2022-01-12|dbb7b4c4-9c98-4915-9321-cd9a1d670a9f|US|Web|::unspecified::|Video|Greek fava dip|Video 25%|1|
2022-01-12|4e4a9e52-5e65-4a50-99d4-9e75d2106221|US|Web|::unspecified::|Video|How to find purpose at any age (5 min)|Video 25%|2|
2022-01-12|4e4a9e52-5e65-4a50-99d4-9e75d2106221|US|Web|::unspecified::|Video|"Stop playing the ""compare game"" (5 min)"|Video 25%|1|
2022-01-12|4e4a9e52-5e65-4a50-99d4-9e75d2106221|US|Web|::unspecified::|Video|Sardinian minestrone (2 min)|Video 25%|1|
2022-01-12|4e4a9e52-5e65-4a50-99d4-9e75d2106221|US|Web|::unspecified::|Video|Living a centered life (6 min)|Video 25%|1|
2022-01-12|4e4a9e52-5e65-4a50-99d4-9e75d2106221|US|Web|::unspecified::|Video|Loma Lindan spring rolls (1 min)|Video 25%|1|
2022-01-12|a95b4b74-a592-4dec-a0e1-0a98661c5011|US|Web|::unspecified::|Video|Ab workout (5 min)|Video 25%|1|
2022-01-12|a95b4b74-a592-4dec-a0e1-0a98661c5011|US|Web|::unspecified::|Video|Butt workout (5 min)|Video 25%|1|
2022-01-12|a95b4b74-a592-4dec-a0e1-0a98661c5011|US|Web|::unspecified::|Video|Arms workout (5 min)|Video 25%|1|
2022-01-12|a95b4b74-a592-4dec-a0e1-0a98661c5011|US|Web|::unspecified::|Video|Legs workout (5 min)|Video 25%|1|
2022-01-12|942dd919-c664-4270-ba51-74b163d80977|US|Web|::unspecified::|Video|Healthy Cobb lunch salad (1 min)|Video 25%|1|
2022-01-12|942dd919-c664-4270-ba51-74b163d80977|US|Web|::unspecified::|Video|Breakfast smoothie (1 min)|Video 25%|1|
2022-01-12|942dd919-c664-4270-ba51-74b163d80977|US|Web|::unspecified::|Video|BBQ chicken dinner bowl (1 min)|Video 25%|1|
2022-01-12|113edb6c-f86a-455a-8339-29a0e148b745|US|Web|::unspecified::|Video|Making smart financial choices (5 min)|Video 25%|1|
2022-01-12|113edb6c-f86a-455a-8339-29a0e148b745|US|Web|::unspecified::|Video|Healthy Cobb lunch salad (1 min)|Video 25%|1|
2022-01-12|113edb6c-f86a-455a-8339-29a0e148b745|US|Web|::unspecified::|Video|Breakfast smoothie (1 min)|Video 25%|1|
2022-01-12|113edb6c-f86a-455a-8339-29a0e148b745|US|Web|::unspecified::|Video|BBQ chicken dinner bowl (1 min)|Video 25%|1|
2022-01-12|113edb6c-f86a-455a-8339-29a0e148b745|US|Web|::unspecified::|Video|Conscious shopping meditation (4 min)|Video 25%|1|
2022-01-12|113edb6c-f86a-455a-8339-29a0e148b745|US|Web|::unspecified::|Video|Knowledge is power (6 min)|Video 25%|1|
2022-01-12|113edb6c-f86a-455a-8339-29a0e148b745|US|Web|::unspecified::|Video|Port Arena, CA|Video 25%|1|
2022-01-12|2ebfea41-b4f3-4b4d-8600-07ca983b7a81|US|Web|::unspecified::|Video|Burn More Calories With This Sandwich Choice|Video 25%|1|
2022-01-12|2ebfea41-b4f3-4b4d-8600-07ca983b7a81|US|Web|::unspecified::|Video|Can I Eat Burgers If I'm Trying to Lose Weight?|Video 25%|1|
2022-01-12|2ebfea41-b4f3-4b4d-8600-07ca983b7a81|US|Web|::unspecified::|Video|Should I Cleanse Or Detox My Body?|Video 25%|1|
2022-01-12|2ebfea41-b4f3-4b4d-8600-07ca983b7a81|US|Web|::unspecified::|Video|Why Are Nuts a Healthy Food?|Video 25%|1|
2022-01-12|2ebfea41-b4f3-4b4d-8600-07ca983b7a81|US|Web|::unspecified::|Video|2 Surprising Ways to Lose Weight|Video 25%|1|
2022-01-12|2ebfea41-b4f3-4b4d-8600-07ca983b7a81|US|Web|::unspecified::|Video|How Exercise Boosts Longevity|Video 25%|1|
2022-01-12|2ebfea41-b4f3-4b4d-8600-07ca983b7a81|US|Web|::unspecified::|Video|Here's why popcorn is the ultimate snack food|Video 25%|1|
