metric_id|entity|dims|upper_range|lower_range
100003001|63500002|Targeted|4185.5|-18.5
100003001|65500001|Targeted|97.5|-10.5
100003001|65500002|Targeted|132.75|10.75
100003001|66000001|Targeted|8.5|-3.5
100003001|66000003|Targeted|17.75|3.75
100003001|66500001|Targeted|161.25|-152.75
100003001|66500002|Targeted|308.0|-376.0
100003001|66500003|Targeted|131.0|-93.0
100003001|66500004|Targeted|1957.0|-1207.0
100003001|66500005|Targeted|39.0|-41.0
100003001|66500006|Targeted|7.25|-18.75
100003001|66500007|Targeted|20.25|-17.75
100003001|66500008|Targeted|16.5|-15.5
100003001|66500011|Targeted|89.75|-96.25
100003001|67000001|Targeted|10.25|0.25
100003001|67500001|Targeted|1.75|-4.25
100003001|67500003|Targeted|2.5|-5.5
100003001|67500004|Targeted|1.0|-3.0
100003001|67500005|Targeted|-23.75|-97.75
100003001|69000001|Targeted|21.75|-12.25
100003001|69000002|Targeted|5.75|-4.25
100003001|69500002|Targeted|18453.75|-14668.25
100003001|69500003|Targeted|2492.75|-3237.25
100003001|69500005|Targeted|4489.5|-4702.5
100003001|69500006|Targeted|8210.75|-4707.25
100003001|70000001|Targeted|47.0|-17.0
100003001|71500001|Targeted|-0.25|-14.25
100003001|71500002|Targeted|124.25|46.25
100003001|71500003|Targeted|219.75|-74.25
100003001|72250002|Targeted|46.25|-15.75
100003001|72500001|Targeted|329.25|15.25
100003001|72750001|Targeted|97.75|-28.25
100003001|77750001|Targeted|21.0|-79.0
100003001|82000001|Targeted|63.0|7.0
100003001|8500001|Targeted|534869.75|-287492.25
100003001|8500002|Targeted|4455.75|313.75
100003001|8500003|Targeted|27553.5|-17454.5
100003001|86250001|Targeted|127.0|-37.0
100003001|8750049|Targeted|182.0|42.0
100003001|8750050|Targeted|2401.75|27.75
100003001|9000035|Targeted|157.5|-114.5
100003001|9000038|Targeted|97.25|-64.75
100003001|9000040|Targeted|164.25|-77.75
100003001|9000044|Targeted|4237.25|-64.75
100003001|9250049|Targeted|170.0|-390.0
100003001|93500001|Targeted|47.5|-12.5
100003001|94250002|Targeted|1.5|-2.5
100003001|94250004|Targeted|182.25|40.25
100003001|94250005|Targeted|132.25|10.25
100003001|94250006|Targeted|99.5|-12.5
100003001|94250007|Targeted|63.25|9.25
100003001|94250008|Targeted|63.0|7.0
100003001|94250009|Targeted|45.75|-0.25
